Sale package_name,Location name,Gross Package Sales,Package Sales Tax,Net Package Sales
All,All,40082.0,0.0,30576.0
CO2 skin resurfacing,All,1497.0,0.0,1497.0
CO2 skin resurfacing,Rella Aesthetics - Napa,1497.0,0.0,1497.0
IPL Face + Neck Package (3 Treatments),All,1100.0,0.0,1100.0
IPL Face + Neck Package (3 Treatments),Rella Aesthetics,1100.0,0.0,1100.0
IPL Full Face - Package (3 Treatments),All,5400.0,0.0,5350.0
IPL Full Face - Package (3 Treatments),Rella Aesthetics,5400.0,0.0,5350.0
Laser Hair Removal - Brazilian Area Package,All,6750.0,0.0,4050.0
Laser Hair Removal - Brazilian Area Package,Rella Aesthetics,2700.0,0.0,2700.0
Laser Hair Removal - Brazilian Area Package,Rella Aesthetics - Napa,4050.0,0.0,1350.0
Laser Hair Removal - Full Arms Area Package,All,3240.0,0.0,3240.0
Laser Hair Removal - Full Arms Area Package,Rella Aesthetics,3240.0,0.0,3240.0
Laser Hair Removal - Full Face Area Package,All,0.0,0.0,0.0
Laser Hair Removal - Full Face Area Package,Rella Aesthetics,0.0,0.0,0.0
Laser Hair Removal - Full Legs Area Package,All,4050.0,0.0,4050.0
Laser Hair Removal - Full Legs Area Package,Rella Aesthetics,4050.0,0.0,4050.0
Laser Hair Removal - Small Area Package,All,5670.0,0.0,3564.0
Laser Hair Removal - Small Area Package,Rella Aesthetics,4860.0,0.0,3564.0
Laser Hair Removal - Small Area Package,Rella Aesthetics - Napa,810.0,0.0,0.0
Laser Hair Removal - Upper/ Lower Face Area Package,All,0.0,0.0,0.0
Laser Hair Removal - Upper/ Lower Face Area Package,Rella Aesthetics,0.0,0.0,0.0
RF Microneedling Face + Neck Package (3),All,4650.0,0.0,1650.0
RF Microneedling Face + Neck Package (3),Rella Aesthetics,2325.0,0.0,1650.0
RF Microneedling Face + Neck Package (3),Rella Aesthetics - Napa,2325.0,0.0,0.0
RF Microneedling Full Face Package (3),All,6075.0,0.0,6075.0
RF Microneedling Full Face Package (3),Rella Aesthetics,6075.0,0.0,6075.0
RF Microneedling Full Face Package (3),Rella Aesthetics - Napa,0.0,0.0,0.0
Skin Stylus Microneedling Package (3 Treatments),All,1650.0,0.0,0.0
Skin Stylus Microneedling Package (3 Treatments),Rella Aesthetics,1650.0,0.0,0.0
